Job,Total Compensation
Environmental Assistant,63159.9
Registered Nurse,247034.61
Transit Operator,123123.37
Engineering Associate 1,119534.54
IS Business Analyst,137175.71
Parking Control Officer,87005.81
Permit Technician II,62197.97
Health Worker 2,85384.13
Library Assistant,89945.16
Physician Specialist,97450.56
Deputy Sheriff,143295.35
Transit Operator,112343.96
Special Nurse,100441.43
Transit Operator,81920.59
Attorney (Civil/Criminal),246602.74
Clinical Psychologist,52527.72
Junior Clerk,69392.21
Nurse Practitioner,45018.74
Dep Dir V,295746.24
Food Service Worker,85073.7
Automotive Service Worker,101809.52
EMT/Paramedic/Firefighter,133546.27
"Operating Engineer, Universal",138192.6
Electr Maint Tech Asst Sprv,173730.52
Clerk Typist,90013.28
Transit Supervisor,44034.26
"Claims Investigator, Ca",147688.29
Senior Clerk,94116.49
Legal Assistant,101720.31
Maintenance Planner,157936.36
Sprv Adult Prob Ofc (SFERS),158028.52
Nurse Practitioner,258522.21
Transit Car Cleaner,124003.42
Registered Nurse,178722.35
Registered Nurse,191388.61
Home Health Aide,80570.0
Special Nurse,62141.37
Registered Nurse,219865.27
Deputy Court Clerk I,74316.77
Senior Legal Process Clerk,108424.62
Secretary 2,100792.3
Custodian,79064.38
Deputy Sheriff,173295.88
General Laborer,53014.63
"Deputy Dir I, MTA",263637.96
Emp & Training Spec 2,37921.32
Senior Physician Specialist,170457.61
Custodian,94376.26
Senior Water Service Inspector,175817.85
Transit Operator,115715.43
Asr-Office Assistant,16070.75
Police Officer,17642.29
Physical Therapist Assistant,127715.87
Deputy Sheriff,142918.78
"Sr Stationary Eng, Sew Plant",110609.18
Transit Operator,120704.83
Curator 3,35400.6
HSA Social Worker,76490.75
Electrician Supervisor 1,159422.82
Senior Eligibility Worker,115019.76
Asr-Office Assistant,18789.01
Executive Secretary 1,107735.65
Permit And Citation Clerk,23475.03
IS Administrator 2,99816.44
IS Manager,234868.57
"Lieutenant, Fire Suppression",150870.15
Senior Eligibility Worker,85382.69
Cement Mason,119018.56
Clinical Psychologist,89082.37
Senior Clerk,80779.8
Senior Stationary Engineer,156140.24
Porter,80029.95
Deputy Sheriff,159280.2
Registered Nurse,179035.11
Senior Physician Specialist,149475.16
Recreation Leader,74880.93
Police Officer 3,152035.94
Nurses Staffing Assistant,90242.57
Senior Eligibility Worker,74029.38
Asst Engr,141713.53
Sergeant 3,223491.84
Stationary Engineer,111282.64
PS Aide To Prof,17351.39
General Laborer,20883.49
Nurse Manager,246905.48
Public Health Nurse,202817.66
Custodial Assistant Supervisor,95297.92
Pr Personal Property Auditor,162051.55
Transit Operator,115649.31
Sheriff's Lieutenant,207842.82
Regulatory Specialist,152280.72
Central Processing & Dist Tech,18752.8
Accountant III,115674.63
Police Officer,61929.72
Publ Svc Aide-Asst To Prof,62276.72
Police Officer,150332.2
Transit Operator,113022.14
Program Support Analyst,141727.53
Materials Coordinator,163757.09
"Counselor, Juvenile Hall",31875.27
EMT/Paramedic/Firefighter,40178.44
Special Nurse,96549.85
"Lieutenant, Fire Suppression",204040.39
Snr Permit And Citation Clerk,116191.43
Deputy Sheriff,138730.4
Librarian 1,108241.56
Custodian,31898.83
Storekeeper,94472.66
Senior Clerk,78878.87
Registered Nurse,166523.53
Medical Evaluations Assistant,84566.14
Library Page,24016.59
General Laborer,116234.86
Train Controller,120912.89
Dietitian,67736.37
Special Nurse,21389.53
Executive Secretary 1,108585.51
Senior Clerk,54292.84
Gardener,99168.08
Transit Operator,55913.82
Nurse Manager,243980.5
Patient Care Assistant,58580.2
Watershed Keeper,95040.47
Transit Power Cable Splicer,149495.24
Electrician,141434.07
Police Officer 2,165883.89
Transit Operator,109048.76
Customer Service Agent,113525.05
Airport Safety Officer,123233.68
Special Nurse,90033.04
Transit Operator,70992.93
Medical Social Worker,116874.7
Clerk Typist,70294.94
Engineer,193431.16
Project Manager 1,173035.11
Senior Management Assistant,30506.79
Deputy Probation Officer,128925.43
Traf Signal Electrician Sup I,186297.45
Executive Secretary 2,31992.42
Food Service Worker,81775.2
Plumber,135485.45
Public Service Trainee,17662.34
Junior Administrative Analyst,27648.59
Program Specialist,123225.88
Automotive Service Worker,81607.86
Transit Car Cleaner,41452.21
General Laborer,87839.36
Auditor III,123196.73
Police Officer,71785.69
Environmental Assistant,48487.46
Senior Deputy Sheriff,176336.12
Sergeant 3,198643.21
Transit Operator,127352.15
Porter,88546.35
Principal Water Services Clerk,111296.55
EMT/Paramedic/Firefighter,116844.84
Transit Operator,75695.22
Senior Deputy Sheriff,99535.8
Senior Physician Specialist,302688.96
HSA Social Worker,117323.52
Transit Operator,117293.18
Sr Psychiatric Social Worker,138546.2
Administrative Analyst,31569.73
Personnel Analyst,129706.96
Executive Secretary 2,117159.69
Sprv Clincal Psychologist,61140.16
Sr Payroll & Personnel Clerk,110175.2
Senior Physician Specialist,296777.92
Senior Account Clerk,99506.16
Electrician,144420.33
Police Officer 3,257003.52
Legal Process Clerk,90282.27
"Lieutenant, Fire Suppression",221736.59
Recreation Leader,21908.98
Manager III,65999.81
Special Nurse,42428.93
Stdntdsgn Train2/Arch/Eng/Plng,47211.5
Chief Stationary Engineer,163202.36
Senior Stationary Engineer,153660.65
Police Officer 3,123340.97
Psychiatric Social Worker,81061.91
Manager I,138754.31
Firefighter,195517.21
Accountant III,108807.73
Public Service Trainee,17478.98
Library Page,45462.38
Truck Driver,138866.48
Electrical Line Helper,119619.71
Customer Service Agent Supv,105568.55
IS Business Analyst-Principal,178476.24
PS Aide To Prof,55446.54
Nurse Manager,224294.88
Recreation Leader,19334.36
Airport Ground Transport Tech,50024.05
Senior Clerk Typist,92434.3
Lighting Fixture Maint Worker,14680.4
Transit Operator,126907.16
Lieutenant (Police Department),15150.85
Automotive Machinist,121900.46
"Manager VI, MTA",95597.3
Registered Nurse,150070.14
Dental Aide,35266.3
Management Assistant,108852.32
Registered Nurse,154262.67
Public Service Trainee,41446.27
Accountant III,84138.62
Police Officer,124212.08
Custodian,87334.51
Senior Administrative Analyst,140601.41
Transit Operator,67085.08
Patient Care Assistant,113303.22
Nurses Staffing Assistant,52671.77
Sergeant 3,207566.9
Special Nurse,41375.04
Airport Economic Planner,163061.16
Custodian,84831.31
Administrative Analyst,125257.39
Registered Nurse,165162.44
Librarian 1,77749.01
Sergeant 3,43244.43
Watershed Keeper Supervisor,124512.65
Public Svc Aide-Public Works,19100.36
Transit Operator,122513.3
Manager III,205262.98
Stationary Engineer,121536.93
Electrician,54099.44
Senior Eligibility Worker,77390.92
IT Operations Support Admin IV,81167.38
Deputy Probation Officer,138334.38
Special Nurse,101849.65
IT Operations Support Admn III,89051.61
Attorney (Civil/Criminal),134036.08
Food Service Worker,58580.2
"Head Atty, Civil & Criminal",264781.15
Parking Control Officer,83925.48
Attorney (Civil/Criminal),173740.9
Senior Physician Specialist,206288.64
Eng/Arch/Landscape Arch Sr,211201.21
Gardener,19677.7
Police Officer,61969.2
Special Nurse,52242.96
Senior Clerk,100114.24
Patient Care Assistant,77584.21
Maintenance Controller,105077.22
Recreation Leader,18227.86
Clerk,34173.58
Parking Control Officer,117374.59
Automotive Mechanic Asst Sprv,182557.34
Assoc Engineer,93089.56
Police Officer,112402.86
"Manager VIII, MTA",259831.27
Attorney (Civil/Criminal),246660.1
Special Nurse,80907.81
Gardener,97410.47
Library Technical Assistant 1,106792.51
Senior Management Assistant,48607.82
Transit Operator,95743.87
Transit Operator,97895.13
Communications Dispatcher 2,101777.47
Senior Eligibility Worker,109945.2
Planner 2,113926.8
Nurse Manager,251338.62
Registered Nurse,191104.67
Firefighter,186271.29
Senior Eligibility Worker,113441.55
Patient Care Assistant,84424.51
Police Officer 3,167708.48
IS Business Analyst,137186.96
Community Police Services Aide,114244.96
Clerk,56493.46
Senior Clerk Typist,92711.42
Police Officer 3,182509.81
Deputy Sheriff,192670.63
IT Operations Support Admn III,125422.44
Engineering Associate 1,119394.4
Senior Clerk,72644.8
Manager IV,192867.83
Custodian,61355.95
Special Nurse,39426.29
Community Police Services Aide,120579.04
Senior Administrative Analyst,126947.58
Deputy Sheriff,155759.87
Parking Meter Repairer,101286.06
Gardener,112215.03
Sheriff's Cadet,73327.52
Pr Administrative Analyst,163619.14
Inspector 3,200407.0
Deputy Sheriff,233297.29
Library Technical Assistant 2,114568.3
Manager VI,126265.9
IS Engineer-Principal,126663.32
Sergeant 2,52758.66
Personnel Analyst,129392.33
Senior Health Program Planner,148604.63
Arborist Technician Supv II,130936.33
Registered Nurse,208978.42
Registered Nurse,237372.37
Manager VI,237242.98
Special Nurse,53321.26
Gardener,79056.86
Airport Safety Officer,133318.46
Deputy Sheriff,207403.43
Police Officer,148043.93
Manager III,194471.42
Deputy Court Clerk II,91196.77
Deputy Court Clerk III,132148.96
Accountant III,88391.42
Legislative Assistant,146630.98
Unit Clerk,97925.51
Registered Nurse,86824.69
Survey Associate,114343.99
Health Worker 4,113567.44
Transit Operator,129597.7
Clinical Pharmacist,219480.47
Clerk,95928.93
Senior Deputy Sheriff,138050.17
Clerk,80436.0
Emergency Services Coord II,92473.14
Senior Eligibility Worker,74109.18
Watershed Worker (Seasonal),14600.56
Dep Dir IV,321615.86
Employment & Training Spec 3,92659.12
Medical Evaluations Assistant,91845.95
"Stationary Eng, Sewage Plant",139381.47
Senior Account Clerk,84224.67
Health Worker 3,99171.63
IS Engineer-Assistant,153695.33
Clerk Typist,88070.48
X-Ray Laboratory Aide,107321.21
Senior Physician Specialist,124509.99
Locksmith,153409.37
Accountant III,75188.07
Firefighter,185515.55
Custodian,89623.28
Transit Operator,54532.93
Public Safetycomm Disp,113063.08
Transit Operator,73898.72
Electronic Maintenance Tech,186665.12
Attorney (Civil/Criminal),248288.64
Regulatory Specialist,154910.59
Junior Clerk,32881.24
Supervising Physician Spec,254927.85
Junior Management Assistant,71667.96
Transit Operator,116683.09
Special Nurse,76948.08
Sergeant 3,280834.08
Automotive Service Worker,119341.9
Secretary 2,100911.69
Nursing Assistant,131848.53
Senior Eligibility Worker,85811.33
Architectural Associate 1,141914.64
Psychiatric Social Worker,126530.29
Librarian 2,134496.93
Police Officer 2,174110.6
Recreation Leader,20619.69
Utility Plumber Apprentice,132146.48
Librarian 1,123333.54
Sergeant 3,217513.97
"Lieutenant, Fire Suppression",195168.17
"Court Invstgtor, Superior Crt",152090.53
Sergeant 3,223178.16
Porter,19112.68
Manager IV,218303.45
Administrative Analyst,33983.14
General Laborer Supervisor 1,118684.28
Animal Keeper,58057.77
Court Alternative Specialist 1,104431.33
Chemist I/II,93830.12
Assistant Storekeeper,43294.3
Senior Clerk Typist,81450.53
Senior Deputy Sheriff,58060.09
Pr Administrative Analyst,158639.09
Stationary Engineer,44304.56
Custodial Assistant Supervisor,29628.83
IT Operations Support Admn III,125664.27
Special Nurse,23008.78
Library Technical Assistant 1,107093.7
Traffic Signal Electrician,173748.83
IS Engineer-Senior,184943.57
Medical Evaluations Assistant,57116.48
Special Nurse,59580.83
Deputy Court Clerk III,123622.0
Cement Mason,120463.57
Asphalt Worker,86738.72
Public Service Trainee,18076.89
IS Programmer Analyst-Senior,124312.65
Transit Operator,97574.86
Principal Clerk,99315.04
Plumber,155487.58
Psychiatric Social Worker,126953.03
Publ Svc Aide-Asst To Prof,28258.4
Police Officer 3,55935.99
Sr Airport Communications Disp,145704.06
Automotive Mechanic,120811.7
Deputy Court Clerk I,40818.59
Recreation Leader,24210.22
Senior Account Clerk,98991.48
Police Officer 2,101944.12
Dep Dir I,158145.08
Sergeant 2,47620.97
Accountant II,69238.7
"Lieutenant, Fire Suppression",182033.24
Patient Care Assistant,96966.22
Security Guard,28159.12
Junior Administrative Analyst,19203.37
Registered Nurse,196241.29
Benefits Supervisor,153044.6
Airport Communications Disp,142884.63
Secretary 2,100963.46
Custodian,70234.03
Manager V,220832.59
Senior Eligibility Worker,78415.82
Senior Clerk Typist,92757.51
Registered Nurse,193959.17
Stationary Engineer,158502.8
Dep Dir II,230943.08
Senior Clerk Typist,65385.09
EMT/Paramedic/Firefighter,194153.02
Firefighter,231307.75
Manager I,177738.32
Deputy Sheriff (SFERS),73601.42
Registered Nurse,198237.02
Senior Clerk,111359.82
Registered Nurse,131479.15
Registered Nurse,105877.31
Firefighter,269357.33
Eng/Arch/Landscape Arch Sr,211100.45
Bldgs & Grounds Maint Supt,168189.76
Truck Driver,57394.41
Contract Compliance Officer 1,133716.45
Manager III,16244.75
Construction Inspector,69705.48
Transit Operator,95742.09
Police Officer 2,49483.07
Police Officer 3,91840.99
Planner 2,112768.4
Deputy Sheriff,141321.78
Permit And Citation Clerk,96693.11
Stationary Engineer,153237.49
Senior Stationary Engineer,114951.66
Senior Management Assistant,131874.97
Legal Assistant,121160.68
Performance Analyst II,113040.11
Health Worker 2,55223.82
Deputy Sheriff (SFERS),122138.94
Senior Clerk,73002.85
Recreation Specialist,24791.9
Senior Clerk,89741.87
Secretary 2,51831.12
Attorney (Civil/Criminal),179151.49
Gardener,102436.7
Personnel Clerk,82605.14
Deputy Sheriff,157189.03
Police Officer,119269.78
Special Nurse,66859.53
"Counselor, Log Cabin Ranch",19726.81
Planner 4-Environmental Review,177599.9
Utility Plumber Supervisor 1,261679.03
Transit Operator,108941.5
Medical Social Worker,72070.53
Nursing Assistant,113418.61
Senior Eligibility Worker,98664.98
X-Ray Laboratory Aide,107639.57
Registered Nurse,195595.14
Health Worker 2,86121.92
Registered Nurse,223438.12
Planner 3-Environmental Review,148881.01
Transit Operator,125324.24
Home Health Aide,38977.2
Patient Care Assistant,115319.68
Transit Operator,65508.24
Psychiatric Technician,120996.36
Manager VIII,293444.0
Library Page,50793.69
Statnry Eng Water Treat Plant,25836.68
Patient Care Assistant,124504.83
Electrical Transit System Mech,144992.57
Deputy Sheriff,152405.48
Transit Operator,76312.77
Electrical Transit System Mech,130995.58
Patient Care Assistant,72827.22
Custodian,90927.2
Registered Nurse,166762.46
Senior Administrative Analyst,140048.13
Medical Records Technician,106696.13
IS Engineer-Journey,161814.32
Sergeant 3,204348.83
Legal Secretary 1,114523.42
Manager I,171651.83
Sergeant 3,232512.64
Administrative Analyst,100221.7
Firefighter,199293.9
Deputy Sheriff,162096.39
Psychiatric Social Worker,119856.01
Transit Operator,72229.13
Senior Eligibility Worker,76551.8
IS Business Analyst-Principal,178398.32
Gardener,100758.43
Transit Operator,138140.36
Senior Deputy Sheriff,176218.05
Senior Eligibility Worker,86128.78
Sergeant 3,48518.73
Registered Nurse,188591.51
Aquatics Facility Supervisor,106189.66
Da Investigative Assist,75745.58
Junior Management Assistant,74692.34
Sheet Metal Worker,51904.09
Registered Nurse,177443.28
Sergeant 3,187603.86
Employment & Training Spec 1,41899.61
Nurse Practitioner,102820.2
Manager II,184059.87
Public Information Officer,99226.0
Sergeant 3,111752.42
Registered Nurse,187936.3
Attorney (Civil/Criminal),53482.68
Police Officer,202844.94
Telephone Operator,84302.41
Senior Eligibility Worker,20596.41
Transit Operator,117936.68
Special Nurse,20218.67
Senior Clerk Typist,92532.35
Library Assistant,31623.15
Custodian,95174.67
Parking Control Officer,76646.19
Psychiatric Social Worker,128315.58
Anesthetist,304960.76
Stationary Engineer,144266.31
Police Officer,67667.29
Pharmacist,17388.02
Parts Storekeeper,123573.55
Firefighter,127541.03
Transit Operator,110503.38
Patient Care Assistant,122615.81
Public Information Officer,80292.92
Accountant IV,156590.43
Community Police Services Aide,110013.3
Police Officer,132209.81
Publ Svc Aide-Asst To Prof,23317.63
Police Officer 3,170915.16
Eng/Arch/Landscape Arch Sr,211146.85
Pile Worker,140219.81
Transit Operator,80647.8
Physical Therapist,71095.35
Transit Operator,37481.37
Senior Clerk,72321.84
Police Officer,126843.55
Stationary Engineer,138588.62
Communications Systems Tech,180589.09
Special Nurse,25120.15
Physical Therapist,69636.21
Public Service Trainee,43528.52
Transit Operator,139553.55
Accountant II,118387.53
Park Section Supervisor,122942.41
Environmental Assistant,105664.93
Transit Operator,42050.56
Special Nurse,52643.62
Manager I,124198.06
Psychiatric Social Worker,163097.55
Firefighter,195049.9
Museum Guard,83892.63
Senior Clerk Typist,91656.64
Custodian,36248.99
Contract Compliance Officer 1,89923.95
Parts Storekeeper,135293.31
Firefighter,209234.9
"Station Agent, Muni Railway",44927.14
"Sr Statnry Eng, Wtr Treat Plnt",163203.59
Special Nurse,58695.57
Registered Nurse,213860.33
Registered Nurse,185049.66
Manager V,235552.2
Parking Control Officer,94896.55
Firefighter,209039.81
Clinical Pharmacist,206956.97
Sheet Metal Wrk Supervisor 2,188869.15
Engineer,116188.66
Automotive Mechanic,134985.37
Employment & Training Spec 3,72476.35
Manager III,199980.19
Parking Control Officer,95684.94
Police Officer 2,205984.0
Painter,96502.26
Transit Operator,128351.87
Public Svc Aide-Public Works,19139.66
Sergeant 3,208866.35
Community Police Services Aide,106256.23
Custodian,95001.37
Traffic Survey Technician,107478.19
Special Nurse,43598.84
Custodian,94984.4
Surgical Procedures Technician,137716.87
Transit Car Cleaner,117782.48
Deputy Chief 3,357079.45
Electrician,87824.26
Special Nurse,26502.93
Traffic Signal Electrician,155298.28
Prnpl Admin Analyst II,165389.75
Fare Collections Receiver,101006.55
Attorney (Civil/Criminal),171493.93
Special Nurse,75456.56
Executive Secretary 3,75074.66
Police Officer,79607.65
Asphalt Worker,76946.59
Manager IV,202064.22
EMT/Paramedic/Firefighter,146433.27
Physical Therapist,40250.78
Library Assistant,65050.56
Attorney (Civil/Criminal),246506.47
Registered Nurse,208089.8
Public Service Trainee,17166.52
Benefits Technician,25504.09
Deputy Sheriff (SFERS),133579.59
Pharmacy Technician,51158.03
Special Nurse,82580.28
Transit Operator,74286.66
"Chf Statnry Eng,Wtrtreat Plnt",97212.67
HSA Social Worker,116437.09
Senior Administrative Analyst,68965.55
Public Svc Aide-Public Works,31720.15
Protective Services Worker,139464.43
Food Service Worker,48512.0
Transit Operator,122330.2
Food Service Worker,82485.83
Employment & Training Spec 1,41917.81
Manager IV,124631.88
Citizens Complaint Officer,100899.97
Sergeant 3,212923.07
Dental Aide,106099.34
Public Service Trainee,17234.99
Deputy Sheriff,215737.33
Senior Clerk,86941.07
Custodian,90143.66
Physician Specialist,50109.74
Steamfitter,151233.64
"Lieutenant, Fire Suppression",157898.56
Medical Evaluations Assistant,93093.47
Window Cleaner,112020.06
Police Officer 3,198197.43
Epidemiologist 2,145027.2
Airport Operations Supervisor,153773.64
Clerk Typist,102805.63
Clerk,67049.85
IT Operations Support Admn III,125416.45
Pr Administrative Analyst,146293.94
Assoc Engineer,162479.06
Regulatory Specialist,148793.82
Deputy Court Clerk II,77039.43
Police Officer,123336.24
Food Service Worker,38479.16
"Stdntdsgntrain1, Arch/Eng/Plng",23841.31
Transit Car Cleaner,136683.38
Public Health Nurse,198946.25
Nurse Manager,226376.73
Recreation Leader,15536.93
Publ Svc Aide-Asst To Prof,18818.8
Firefighter,213232.47
Secretary 1,88915.77
Sr Psychiatric Social Worker,83223.91
Firefighter,189611.44
"Director, Probation Services",183913.67
Research Assistant,105644.56
Recreation Specialist,91045.47
PS Aide Health Services,50122.72
Transit Operator,133781.29
"Captain, Fire Suppression",247593.83
Firefighter,183573.27
Senior Real Property Appraiser,144782.48
Watershed Keeper,109164.05
Police Officer,143303.57
Dep Dir II,208443.38
Transit Operator,117124.37
Sergeant 3,195939.13
Registered Nurse,140908.47
Police Officer,61969.2
Deputy Sheriff,176570.74
IS Engineer-Senior,203234.44
Medical Evaluations Assistant,93384.59
Custodian,87334.51
Custodian,67301.57
Unit Clerk,94094.1
Firefighter,135956.23
Attorney (Civil/Criminal),170246.2
Psychiatric Social Worker,122513.44
Senior Clerk,77557.44
IS Prg Analyst-Principal,136648.92
Firefighter,186883.98
"Lieutenant, Fire Suppression",232185.39
Architectural Assistant 1,98777.44
Firefighter,230687.09
Senior Deputy Sheriff,293073.21
Wastewater Control Inspector,129096.31
Communications Dispatcher 1,28106.67
Sergeant 3,218588.93
Accountant III,122060.42
Training Officer,131056.67
Publ Svc Aide-Asst To Prof,23565.18
Stationary Engineer,65463.23
Bldg & Grounds Patrol Officer,108205.33
Nurse Practitioner,262891.41
EMT/Paramedic/Firefighter,150610.13
Transit Manager 1,103802.62
Accountant IV,35928.85
Police Officer 3,179470.22
Eligibility Worker Supervisor,133734.44
Sprv Wastewater Cont Inspector,161813.99
Library Technical Assistant 1,57936.56
Electronic Maintenance Tech,165021.45
Library Technical Assistant 1,106935.71
Rehabilitation Counselor,113443.96
Carpenter Supervisor 1,167252.74
Offset Machine Operator,93137.53
Customer Service Agent,112019.73
Transit Operator,113516.11
Manager I,162312.52
Real Property Appraiser,71424.71
Truck Driver,142637.87
Water Qualitytech I/II,108947.79
Police Officer,131235.27
Transit Car Cleaner,75801.1
General Laborer,96714.09
Firefighter,251443.32
Nursing Assistant,109003.08
Community Police Services Aide,117268.75
"Sprv Prob Ofc, Juv Court",149150.12
Accountant II,36214.17
Bldgs & Grounds Maint Supt,224270.42
Cook,125378.15
"Stdntdsgntrain3, Arch/Eng/Plng",17363.47
Librarian 2,45822.91
Estate Investigator,119402.63
Watershed Worker (Seasonal),24548.26
Senior Physician Specialist,131118.56
Lighting Fixture Maint Worker,16591.34
Program Support Analyst,124019.35
Sergeant 3,193254.87
Custodial Supervisor,91312.54
General Laborer,106941.03
Junior Administrative Analyst,89878.74
Eligibility Worker,32854.48
Special Nurse,29045.72
Police Officer 3,227033.76
Medical Social Worker,97540.18
Attorney (Civil/Criminal),251046.92
Police Officer 3,171652.44
Environmental Spec,126791.9
Custodian,73108.84
Eligibility Worker,99698.75
Manager VI,253693.09
Transit Operator,106674.83
Porter,31187.02
IS Business Analyst-Senior,155925.09
Occupational Therapist,64527.93
Sheriff's Property Keeper,35488.13
Home Health Aide,52887.53
Painter,49992.54
Sergeant 3,212303.93
"Manager VIII, MTA",249567.84
Senior Personnel Analyst,112885.56
Custodian,93971.55
Sergeant 3,231319.66
Statnry Eng Water Treat Plant,160221.19
Health Worker 3,100837.23
Fingerprint Technician 3,122579.99
Police Officer 2,156093.15
Attorney (Civil/Criminal),251145.91
Registered Nurse,170850.86
Parking Control Officer,115267.45
"Chf Statnry Eng,Wtrtreat Plnt",173208.15
PS Aide To Prof,19147.36
Principal Environ Specialist,162460.49
Accountant II,27023.14
Registered Nurse,108085.3
Health Worker 2,92157.68
Senior Administrative Analyst,143484.39
Eng/Arch/Landscape Arch Sr,211198.7
Senior Administrative Analyst,47513.71
General Laborer,25150.95
Transit Supervisor,129100.91
Painter,121183.69
Asphalt Finisher Supervisor 1,90327.53
Firefighter,173889.06
Nurse Practitioner,118639.56
Police Officer 3,178181.64
Library Page,39884.78
Registered Nurse,191176.84
Registered Nurse,104064.34
Sheriff's Cadet,79668.51
Transit Operator,123503.98
Physician Assistant,228428.14
Lieutenant 3,211340.33
Deputy Sheriff,156055.5
Transit Operator,118031.08
Transit Operator,58071.34
Police Cadet,20980.18
PS Aide Health Services,42572.12
Firefighter,15721.54
Personal Property Auditor,113692.31
"Investigator,Taxi & Accesssvcs",128677.3
Transit Supervisor,209232.08
Police Officer 2,128463.57
Manager I,171744.86
"Counselor, Juvenile Hall",123775.94
Senior Administrative Analyst,121026.7
Library Page,70029.84
Senior Personnel Analyst,140709.33
Deputy Sheriff,153548.89
Registered Nurse,160656.96
Transit Operator,99664.98
Patient Care Assistant,109744.97
Pharmacy Technician,119184.21
Employment & Training Spec 3,120826.34
Senior Eligibility Worker,19614.14
Deputy Court Clerk III,130149.7
Medical Records Technician,105537.67
Management Assistant,48300.76
Senior Eligibility Worker,99439.0
"Stdntdsgntrain1, Arch/Eng/Plng",15183.68
Museum Preparator,22693.79
Registered Nurse,166309.67
Senior Clerk Typist,92692.85
Nurse Manager,154192.67
Library Assistant,42689.53
General Laborer,23860.63
Police Officer 2,95292.34
Automotive Body & Fender Wrk,131951.37
Pr Payroll & Personnel Clerk,51234.47
EMT/Paramedic/Firefighter,209132.41
Public Svc Aide-Public Works,17720.01
Museum Guard,26142.58
Deputy Sheriff,137959.33
Electronic Maintenance Tech,129030.07
Sr Personal Property Auditor,142339.92
Special Nurse,20675.53
Firefighter,142297.92
"Invstgtor,Fire Dept",103937.27
Firefighter,175762.11
"Lieutenant, Fire Suppression",250612.07
Unit Clerk,97986.91
Sheriff's Cadet,80503.38
Custodian,27031.35
Eligibility Worker,65000.85
Transit Operator,100482.37
Community Police Services Aide,111134.85
Electronic Maintenance Tech,152927.11
IS Business Analyst-Senior,145066.75
Police Officer,120035.74
Senior Clerk,39885.56
Public Health Nurse,108624.5
Legal Secretary 1,111344.37
Transit Operator,124008.47
Special Nurse,16721.76
Licensed Vocational Nurse,113198.31
IS Business Analyst-Senior,156176.28
Planner 3,110194.9
Assoc Engineer,197141.51
Nurse Practitioner,258284.09
Public Service Trainee,17490.98
Transit Operator,126213.93
Patient Care Assistant,94501.42
Police Officer 3,215982.83
Electrical Line Helper,46068.09
Public Service Trainee,30015.53
Police Officer 2,170941.27
Community Police Services Aide,84412.03
Special Nurse,49903.12
Deputy Sheriff,163364.88
Senior Clerk Typist,17781.38
General Laborer,111440.08
Public Svc Aide-Public Works,53730.23
Special Nurse,46620.99
"Marriage, Family & Child Cnslr",134497.71
Registered Nurse,208779.82
Parking Control Officer,101164.25
Police Officer,223052.14
Gardener,42195.39
School Crossing Guard,15549.04
Transit Operator,23921.77
Licensed Vocational Nurse,85729.94
Social Work Specialist,97859.78
Meter Reader,79889.63
Shelter Service Rep,77462.86
Senior Purchaser,15643.49
Patient Care Assistant,79912.83
Bldg & Grounds Patrol Officer,49052.56
Senior Eligibility Worker,114684.54
Structural Engineer,202101.52
Unit Clerk,78202.75
Transit Operator,39299.64
Personnel Analyst,38692.05
Police Officer,141719.57
"Stdntdsgntrain3, Arch/Eng/Plng",14264.5
Principal Account Clerk,110817.32
Carpenter,129529.74
Occupational Therapist,109455.1
Public Svc Aide-Public Works,28010.03
Transit Operator,98408.29
Police Officer 2,184423.86
Parking Control Officer,114261.36
Sr Materials & Supplies Sprv,67595.12
Account Clerk,22647.38
Transit Supervisor,41649.62
Utility Plumber,173142.09
Community Development Spec,45934.5
Incident Support Specialist,192928.16
Police Officer,66626.56
Chemist I/II,122676.59
Special Nurse,78553.01
General Laborer,103082.57
Stationary Engineer,30337.16
Benefits Technician,94898.91
Sergeant 3,199532.82
Police Officer 3,163637.16
Maintenance Machinist,161466.68
Asphalt Worker,114664.67
Transit Operator,125956.77
Public Service Trainee,79063.42
Manager II,157928.55
Transit Operator,138486.14
Public Svc Aide-Public Works,25638.65
Custodian,31290.29
Deputy Sheriff (SFERS),149664.64
Transit Operator,39020.31
Food Service Worker,83293.31
Transit Operator,101062.7
Manager V,204426.87
Painter,92751.16
Transit Operator,56979.67
Transit Operator,126142.03
"Investigator,Taxi & Accesssvcs",131769.67
HSA Social Worker,88322.55
Gardener,122141.16
Public Safetycomm Disp,145249.51
"Stdntdsgntrain1, Arch/Eng/Plng",25812.24
Senior Industrial Hygienist,179580.41
"Rep, Human Rights Comm",114162.95
Personnel Analyst,80735.58
Transit Operator,122061.96
Police Officer 2,51039.17
Planner 2,65586.32
Public Svc Aide-Public Works,15822.21
Junior Engineer,101628.75
Custodian,70945.59
IT Operations Support Admin IV,112653.67
Program Specialist,65477.05
Public Defender's Investigator,116599.52
Customer Service Agent Trainee,18110.45
Transit Operator,126362.54
"Sr Counselor, Juvenile Hall",148768.76
Electronic Maintenance Tech,51957.78
Custodian,87218.97
Senior Eligibility Worker,75206.29
Deputy Sheriff,199117.49
Clerk,44753.52
Diagnostic Imaging Tech II,16924.3
Landscape Architect Assoc 1,141964.97
IS Trainer-Journey,125416.41
Plumber,174073.99
Housekeeper/Food Service Clnr,83771.96
Transit Operator,119430.79
Special Nurse,19227.48
Registered Nurse,120511.4
